Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,FM-3510RGBA-SG,112.123,-90.289,180.0,top
D1,LED,FM-3510RGBA-SG,138.265,-90.2495,180.0,top
D1,LED,FM-3510RGBA-SG,112.199,-84.288,0.0,top
D1,LED,FM-3510RGBA-SG,138.341,-84.2485,0.0,top
J1,030,503480-1200,112.138,-107.7175,180.0,bottom
J1,030,503480-1200,138.28,-107.678,180.0,bottom
J1,030,503480-1200,112.184,-66.8595,0.0,bottom
J1,030,503480-1200,138.326,-66.82,0.0,bottom
J1,030,503480-1200,95.712,-104.9535,90.0,top
J1,030,503480-1200,79.4972,-69.330001,-90.0,top
J2,040,503480-1200,120.988,-104.7675,109.0,top
J2,040,503480-1200,147.13,-104.728,109.0,top
J2,040,503480-1200,103.334,-69.8095,-71.0,top
J2,040,503480-1200,129.476,-69.77,-71.0,top
J3,05x,503480-1200,103.438,-104.7675,-109.0,top
J3,05x,503480-1200,129.58,-104.728,-109.0,top
J3,05x,503480-1200,120.884,-69.8095,71.0,top
J3,05x,503480-1200,147.026,-69.77,71.0,top
LED1,LED_RAGB,FM-3510RGBA-SG,87.5466,-89.995501,180.0,top
LED1,LED_RAGB,FM-3510RGBA-SG,87.6626,-84.288,0.0,top
R1,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,114.0755,-108.6675,0.0,top
R1,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,140.2175,-108.628,0.0,top
R1,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,110.2465,-65.9095,180.0,top
R1,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,136.3885,-65.87,180.0,top
R1,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,85.6996,-108.370501,180.0,top
R1,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,89.5096,-65.913,0.0,top
R2,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,110.2255,-108.6675,0.0,top
R2,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,136.3675,-108.628,0.0,top
R2,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,114.0965,-65.9095,180.0,top
R2,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,140.2385,-65.87,180.0,top
R2,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,89.2556,-108.370501,180.0,top
R2,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,85.9536,-65.913,0.0,top
USB1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,87.4776,-107.227501,180.0,bottom
USB1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,87.7316,-67.056,0.0,bottom
